h_fraction,sin_theta_now,b_norm_now,dh_last_window,sin_theta_next,b_norm_next,best_merit_next_3,merit_now,windows_since_dump,coast_h_fraction_3,coast_h_fraction_6,label
0.2369897265,0.6164296433,0.8175834847,0.1437320943,0.9367250098,1.042511062,1.313398869,0.5039826959,0.05,0.1090904401,0.3741487525,0
0.21451998,0.8007203005,1.042511062,0.06992299975,0.9214726132,1.320805101,1.217085728,0.8347597706,0.1,0.1187635315,0.6652556844,0
0.1217017451,0.6760841424,1.320805101,0.1157315076,0.7596087453,1.274895378,0.9684216787,0.8929753839,0.15,0.111396657,0.9631121802,0
0.08184744214,0.5248196907,1.274895378,0.1179538781,0.8477889636,0.957725268,0.8119489124,0.6690901981,0.2,0.3274596672,1.162962635,0
0.1028969698,0.9816306965,0.957725268,0.04599332681,0.779596051,0.8388575706,0.6539700494,0.940132522,0.25,0.6513745799,1.214426935,0
0.09720991619,0.8606810045,0.8388575706,0.1077713908,0.8372987208,1.136970381,1.238794563,0.7219887765,0.3,0.9348062539,1.220861448,1
0.03655669544,0.9088241179,1.136970381,0.08690925055,0.9052455664,1.326385924,1.200704977,1.033306103,0,0.8870743128,1.048234029,1
0.09673447319,0.463633075,1.326385924,0.07325429742,0.5370725517,1.175856604,0.652035061,0.6149563847,0,0.651933519,0.8295181281,0
0.3638532574,0.7691738688,1.175856604,0.2985128591,0.4723033371,0.864582995,0.4083454337,0.9044381729,0.05,0.687277989,0.7882638178,0
0.5653143893,0.4197297965,0.864582995,0.2034968596,0.4197297965,0.864582995,0.3628912446,0.3628912446,0.1,0.7083569723,0.7814328348,0
0.1815868761,0.8490093448,0.8432914861,0,0.9907362508,1.121904214,1.226016526,0.7159623521,1,0.2614688765,0.3967866039,0
0.1180105382,0.7713272252,1.121904214,0.1073470277,0.6550434224,1.339154677,0.9179149464,0.8653552643,1,0.2877403179,0.4595614452,0
0.1166476242,0.7647990926,1.339154677,0.1370585466,0.9108950028,1.219173734,1.110539262,1.024184282,1,0.2587734036,0.5476888121,0
0.1876808522,0.9994966375,1.219173734,0.1215103548,0.9998830446,0.9042383683,1.114924532,1.218560048,1,0.2554402808,0.6087439454,0
0.2203427365,0.9957517893,0.9042383683,0.08594725336,0.8575385222,0.899767856,0.8588122453,0.9003969732,1,0.3307278578,0.6285183663,0
0.1944501146,0.5348759221,0.899767856,0.1013672129,0.4105938127,1.202504774,0.6202408375,0.4812641617,1,0.4032501931,0.6423600451,0
0.1718690463,0.68781915,1.202504774,0.1452669077,0.8788424856,1.312176565,1.153196514,0.8271058113,1,0.4148760063,0.6822772516,0
0.2199980464,0.9651941907,1.312176565,0.1562957585,0.8467208344,1.100654078,0.9515931955,1.266505198,1,0.3875413046,0.7312264339,0
0.2750714459,0.5343460699,1.100654078,0.1307870575,0.7045322879,0.842393574,1.156839539,0.5881301811,1,0.4005018473,0.7574307438,0
0.2774639604,0.8613260172,0.842393574,0.1205212998,0.9579405586,0.9888633613,0.9472723207,0.725575502,1,0.4649547683,0.7727684093,0
0.2387195376,0.6752749539,0.9888633613,0.1608049635,0.4216627144,1.253515131,0.8160577053,0.6677546607,1,0.5065269528,0.8183870454,0
0.2408739736,0.6454906257,1.253515131,0.198093707,0.840723521,1.246870608,1.048273448,0.809132266,1,0.4917893813,0.8985067194,0
0.3071275873,0.9967220736,1.246870608,0.1952014426,0.9987165169,0.9793820083,1.06234796,1.242783458,1,0.4764937837,0.9703802093,0
0.3561577582,0.9939438502,0.9793820083,0.1675296753,0.9569167558,0.8432121862,0.8475423715,0.9734507241,1,0.5264708307,1.003625385,0
0.3470000732,0.7833490144,0.8432121862,0.1696116696,0.3997013422,1.084287757,0.4333912718,0.660529435,1,0.6023013763,1.017933298,0
0.3179103909,0.2828368976,1.084287757,0.2093149417,0.5974101171,1.266691394,0.9028251799,0.3066765853,1,0.6323446761,1.049723564,0
0.3362642722,0.9760129509,1.266691394,0.2309080265,0.9987303657,1.150099857,1.14863965,1.236307205,1,0.6137826048,1.099117213,0
0.3868184813,0.8266628718,1.150099857,0.2153044828,0.8046280924,0.8813581377,1.110257548,0.9507448504,1,0.6143488389,1.136256806,0
0.4047301591,0.8328848596,0.8813581377,0.1987496337,0.9862032419,0.9025615095,0.9022698383,0.7340698488,1,0.6706316565,1.154018162,0
